ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","1720XX","Biomedical & agricultural engineers",2016,"2016","true","true",6060,1911.1818825294183,70208.86617161716,9017.013626449814,51,"biomedical-agricultural-engineers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291127","Speechlanguage pathologists",2016,"2016","true","true",142703,9269.964586600472,58145.5209280814,2185.6776371445235,1474,"speechlanguage-pathologists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119013","Farmers, ranchers, & other agricultural managers",2016,"2016","true","true",1590,978.9735227922286,28648.262264150944,13693.0325389307,25,"farmers-ranchers-other-agricultural-managers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","230000","Legal Occupations","2310XX","Lawyers, & judges, magistrates, & other judicial workers",2016,"2016","true","true",19572,3434.4969017531553,126864.50914571837,17289.10208770482,192,"lawyers-judges-magistrates-other-judicial-workers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","396010","Baggage porters, bellhops, & concierges",2016,"2016","true","true",4974,1731.4909269737122,23081.969642139124,5339.325634448629,48,"baggage-porters-bellhops-concierges","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","533099","Motor vehicle operators, all other",2016,"2016","true","true",1189,846.5720192318747,33789.70563498738,12212.041833137686,12,"motor-vehicle-operators-all-other","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","29112X","Other therapists, including exercise physiologists",2016,"2016","true","true",145621,9364.167328925121,47647.29221746863,2701.1093862080675,1337,"other-therapists-including-exercise-physiologists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","532010","Aircraft pilots & flight engineers",2016,"2016","true","true",4472,1641.7951822903506,66986.75849731664,13685.012909037261,55,"aircraft-pilots-flight-engineers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","397010","Tour & travel guides",2016,"2016","true","true",13562,2859.014595845264,6811.116870668043,1868.676957089811,181,"tour-travel-guides","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519061","Inspectors, testers, sorters, samplers, & weighers",2016,"2016","true","true",18743,3360.98300376597,30231.231873232675,4955.972932441725,187,"inspectors-testers-sorters-samplers-weighers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
