ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472050","Cement masons, concrete finishers, & terrazzo workers",2018,"2018","true","true",1005,778.3166656145479,37353.74328358209,12981.615854173817,10,"cement-masons-concrete-finishers-terrazzo-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","31909X","Healthcare support workers, all other, including medical equipment preparers",2018,"2018","true","true",2932,1329.3902310998865,64367.59583901773,23893.80135105319,31,"healthcare-support-workers-all-other-including-medical-equipment-preparers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","331090","Miscellaneous first-line supervisors, protective service workers",2018,"2018","true","true",1341,899.0569442808371,89275.52796420582,48035.61636207324,14,"miscellaneous-first-line-supervisors-protective-service-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472040","Carpet, floor, & tile installers & finishers",2018,"2018","true","true",1199,850.1246493612475,56807.11092577148,34657.88464192825,14,"carpet-floor-tile-installers-finishers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","332011","Firefighters",2018,"2018","true","true",1818,1046.8128799888402,86729.57370737074,15997.319425126781,16,"firefighters","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","332020","Fire inspectors",2018,"2018","true","true",876,726.6504375510954,70632.75342465754,31901.772738837408,11,"fire-inspectors","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519080","Medical, dental, & ophthalmic laboratory technicians",2018,"2018","true","true",33842,4515.996646191842,41579.963477335856,4074.923346440674,320,"medical-dental-ophthalmic-laboratory-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2018,"2018","true","true",46953,5319.10085927758,38442.61003556748,2384.656178849296,391,"carpenters","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","339021","Private detectives & investigators",2018,"2018","true","true",979,768.1829835118675,85406.45863125638,26518.440837724265,8,"private-detectives-investigators","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","339030","Security guards & gaming surveillance officers",2018,"2018","true","true",26186,3972.5676705668334,44563.69728098984,5983.538013088027,242,"security-guards-gaming-surveillance-officers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
