ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,Slug Industry Sub-Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517042","Woodworking machine setters, operators, & tenders, except sawing",2018,"2018","true","true",877,727.0650716369022,39289.90992018244,19939.643371345628,8,"woodworking-machine-setters-operators-tenders-except-sawing","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517041","Sawing machine setters, operators, & tenders, wood",2018,"2018","true","true",870,724.1576473509166,30833.083908045977,5764.062051146449,7,"sawing-machine-setters-operators-tenders-wood","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131141","Compensation, benefits, & job analysis specialists",2018,"2018","true","true",657,629.2981994955663,80424.7899543379,19910.216471886397,7,"compensation-benefits-job-analysis-specialists","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517011","Cabinetmakers & bench carpenters",2018,"2018","true","true",792,690.9334190123609,44374.67171717172,16938.38295900355,7,"cabinetmakers-bench-carpenters","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131151","Training & development specialists",2018,"2018","true","true",1008,779.4774588351777,54477.582341269845,20196.893955740285,13,"training-development-specialists","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514XXX","Miscellaneous metal workers & plastic workers, including multiple machine tool setters",2018,"2018","true","true",753,673.7071446534464,51123.055776892434,22725.12267696228,7,"miscellaneous-metal-workers-plastic-workers-including-multiple-machine-tool-setters","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131161","Market research analysts & marketing specialists",2018,"2018","true","true",5395,1803.277845776978,53768.61649675626,12349.217729846341,46,"market-research-analysts-marketing-specialists","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514120","Welding, soldering, & brazing workers",2018,"2018","true","true",86215,7206.774249360508,55222.73392101142,2642.713752336608,772,"welding-soldering-brazing-workers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514041","Machinists",2018,"2018","true","true",2559,1241.9559281244578,66600.26064869089,13693.754651554134,18,"machinists","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131199","Business operations specialists, all other",2018,"2018","true","true",4897,1718.037733283378,66728.42025730039,14417.133759829216,40,"business-operations-specialists-all-other","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
