ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132011","Accountants & auditors",2017,"2017","true","true",29853,4241.552630798182,88977.64790808294,11854.169801673681,286,"accountants-auditors","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","47207X","Construction equipment operators except paving, surfacing, & tamping equipment operators",2017,"2017","true","true",21285,3581.62649711351,55689.57998590557,3948.566329591564,237,"construction-equipment-operators-except-paving-surfacing-tamping-equipment-operators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131199","Business operations specialists, all other",2017,"2017","true","true",1526,959.0688425017207,119320.63106159895,84723.37443657345,21,"business-operations-specialists-all-other","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472111","Electricians",2017,"2017","true","true",9618,2407.703510223054,69020.80900395093,6907.874085802612,97,"electricians","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131161","Market research analysts & marketing specialists",2017,"2017","true","true",490,543.4656235217767,179139.35306122448,195281.38938148457,7,"market-research-analysts-marketing-specialists","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514041","Machinists",2017,"2017","true","true",1527,959.383030529753,42117.71185330714,11639.135730638664,18,"machinists","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472140","Painters & paperhangers",2017,"2017","true","true",1533,961.2660020838372,46132.77756033921,10789.858833531001,11,"painters-paperhangers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2017,"2017","true","true",22458,3678.9787661492387,35654.311826520614,3811.9077665684626,220,"laborers-freight-stock-material-movers-hand","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472150","Pipelayers, plumbers, pipefitters, & steamfitters",2017,"2017","true","true",4582,1661.8643263537906,47785.653862941945,11579.570757096835,41,"pipelayers-plumbers-pipefitters-steamfitters","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131151","Training & development specialists",2017,"2017","true","true",1438,931.0051594609594,65093.70931849792,18030.153451227823,15,"training-development-specialists","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131111","Management analysts",2017,"2017","true","true",1795,1040.1700537918132,123424.04066852368,60326.59653050369,25,"management-analysts","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131081","Logisticians",2017,"2017","true","true",1654,998.4816315359554,68134.20979443773,21540.674123385266,15,"logisticians","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537063","Machine feeders & offbearers",2017,"2017","true","true",1176,841.9313686765106,17145.930272108842,14034.091150707207,9,"machine-feeders-offbearers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514030","Machine tool cutting setters, operators, & tenders, metal & plastic",2017,"2017","true","true",532,566.278134563155,88699.51691729324,71380.37986709204,13,"machine-tool-cutting-setters-operators-tenders-metal-plastic","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2017,"2017","true","true",6356,1957.2998340387642,81798.66708621774,18818.23381229805,62,"human-resources-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131041","Compliance officers",2017,"2017","true","true",3240,1397.4700236056053,80613.01759259259,20011.74385191455,36,"compliance-officers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","475021","Earth drillers, except oil & gas",2017,"2017","true","true",6388,1962.2205590736814,70670.87179085785,14057.185213054992,64,"earth-drillers-except-oil-gas","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","475031","Explosives workers, ordnance handling experts, & blasters",2017,"2017","true","true",1895,1068.7511131975991,40794.24802110818,11974.445403337855,20,"explosives-workers-ordnance-handling-experts-blasters","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131023","Purchasing agents, except wholesale, retail, & farm products",2017,"2017","true","true",3432,1438.2797074306995,74235.73834498835,16384.64950487109,39,"purchasing-agents-except-wholesale-retail-farm-products","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2017,"2017","true","true",15689,3075.0297784425106,22536.850532220025,2891.870639423137,118,"packers-packagers-hand","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","475040","Mining machine operators",2017,"2017","true","true",51914,5592.946655731312,66166.66011095273,3768.479837518081,567,"mining-machine-operators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131022","Wholesale & retail buyers, except farm products",2017,"2017","true","true",483,539.5697751553729,57321.64182194617,34250.016139410276,5,"wholesale-retail-buyers-except-farm-products","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","4750XX","Miscellaneous extraction workers, including roof bolters & helpers",2017,"2017","true","true",51504,5570.824967290193,54177.865680335504,3807.8299069419027,509,"miscellaneous-extraction-workers-including-roof-bolters-helpers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131021","Buyers & purchasing agents, farm products",2017,"2017","true","true",860,719.9837922882878,72443.45930232559,35108.59987473908,12,"buyers-purchasing-agents-farm-products","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119XXX","Miscellaneous managers",2017,"2017","true","true",48864,5426.220321871886,132197.70653241652,12346.894291190622,523,"miscellaneous-managers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","4750YY","Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",2017,"2017","true","true",29686,4229.674596491933,59432.962440207506,7667.437519296522,254,"derrick-rotary-drill-service-unit-operators-roustabouts-oil-gas-mining","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119141","Property, real estate, & community association managers",2017,"2017","true","true",5672,1848.9898692323004,88359.42753878703,21411.138521743214,56,"property-real-estate-community-association-managers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
