ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","272011","Actors",2016,"2016","true","true",564,583.0602953504912,16931.409574468085,19934.603120510572,6,"actors","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","191030","Conservation scientists & foresters",2016,"2016","true","true",1093,811.6769390428251,55216.3769441903,12786.015533216925,16,"conservation-scientists-foresters","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2016,"2016","true","true",889,732.0222999403231,29579.565804274465,13925.657704160121,10,"industrial-truck-tractor-operators","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","350000","Food Preparation & Serving Related Occupations","350000","Food Preparation & Serving Related Occupations","359021","Dishwashers",2016,"2016","true","true",951,757.1180442441786,8929.170347003155,5501.303472521784,9,"dishwashers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","272012","Producers & directors",2016,"2016","true","true",1843,1053.9855909337173,49731.549104720565,12612.804102784365,23,"producers-directors","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516050","Tailors, dressmakers, & sewers",2016,"2016","true","true",14595,2965.889791602514,19372.659677971908,4350.976773555362,138,"tailors-dressmakers-sewers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435111","Weighers, measurers, checkers, & samplers, recordkeeping",2016,"2016","true","true",320,439.1867910930322,24032.234375,21617.315263891873,5,"weighers-measurers-checkers-samplers-recordkeeping","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","4990XX","Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2016,"2016","true","true",22382,3672.7449789635743,37421.896345277455,4730.469912512238,210,"miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","350000","Food Preparation & Serving Related Occupations","350000","Food Preparation & Serving Related Occupations","359031","Hosts & hostesses, restaurant, lounge, & coffee shop",2016,"2016","true","true",1113,819.0693571587549,7043.340521114106,4708.235240381132,10,"hosts-hostesses-restaurant-lounge-coffee-shop","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","1910XX","Medical scientists, & life scientists, all other",2016,"2016","true","true",1330,895.3618642430392,52820.18872180451,26871.116668123814,12,"medical-scientists-life-scientists-all-other","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151121","Computer systems analysts (Legacy)",2016,"2016","true","true",5808,1871.0241275199976,64651.135330578516,12316.720359321618,58,"computer-systems-analysts-legacy","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435081","Stock clerks & order fillers",2016,"2016","true","true",8316,2238.822064775307,27121.117003367002,5594.442038316406,69,"stock-clerks-order-fillers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","272020","Athletes, coaches, umpires, & related workers",2016,"2016","true","true",4090,1570.1108113488663,24241.80391198044,10037.5741216624,43,"athletes-coaches-umpires-related-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","350000","Food Preparation & Serving Related Occupations","350000","Food Preparation & Serving Related Occupations","3590XX","Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",2016,"2016","true","true",2398,1202.2527150589005,9751.489574645539,4686.1643046690715,21,"miscellaneous-food-preparation-serving-related-workers-including-dining-room-cafeteria-attendants-bartender-helpers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131081","Logisticians",2016,"2016","true","true",1073,804.2165700821939,38915.05778191985,10678.599005152455,12,"logisticians","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","537030","Dredge, excavating, & loading machine operators",2016,"2016","true","true",662,631.6882004935088,25714.34743202417,9917.799863642354,7,"dredge-excavating-loading-machine-operators","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435071","Shipping, receiving, & traffic clerks",2016,"2016","true","true",4768,1695.2578370344495,22019.24307885906,4308.020736025491,54,"shipping-receiving-traffic-clerks","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","371011","Firstline supervisors of housekeeping & janitorial workers",2016,"2016","true","true",3120,1371.34711057172,42115.72724358975,10313.568567291224,32,"firstline-supervisors-of-housekeeping-janitorial-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119121","Natural sciences managers",2016,"2016","true","true",712,655.1091903370863,92567.90449438202,28560.508792041124,8,"natural-sciences-managers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492097","Electronic home entertainment equipment installers & repairers",2016,"2016","true","true",4644,1673.0692920525692,32863.03466838932,6660.1075394982245,42,"electronic-home-entertainment-equipment-installers-repairers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113051","Industrial production managers",2016,"2016","true","true",2910,1324.3930923468608,51647.40378006873,14697.844560015747,25,"industrial-production-managers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","272040","Musicians, singers, & related workers",2016,"2016","true","true",66762,6342.19650855347,22064.636170276506,3197.2147495403105,748,"musicians-singers-related-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","371012","Firstline supervisors of landscaping, lawn service, & groundskeeping workers",2016,"2016","true","true",1969,1089.4183242828817,39215.592686642965,10704.522195775371,25,"firstline-supervisors-of-landscaping-lawn-service-groundskeeping-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192040","Environmental scientists & geoscientists",2016,"2016","true","true",1045,793.6542443230513,52919.1004784689,23688.00738815979,14,"environmental-scientists-geoscientists","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499098","Helpersinstallation, maintenance, & repair workers ",2016,"2016","true","true",11316,2611.585968953344,26318.001237186283,5387.518171213993,91,"helpersinstallation-maintenance-repair-workers-","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435061","Production, planning, & expediting clerks",2016,"2016","true","true",6306,1949.5856676134115,42337.055978433236,10391.638888877165,57,"production-planning-expediting-clerks","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151131","Computer programmers (Legacy)",2016,"2016","true","true",3662,1485.6908863018323,66615.0496996177,17421.57765026064,39,"computer-programmers-legacy","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","372012","Maids & housekeeping cleaners",2016,"2016","true","true",121155,8542.095177520489,14434.9638892328,1033.5168399382408,1056,"maids-housekeeping-cleaners","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492096","Electronic equipment installers & repairers, motor vehicles",2016,"2016","true","true",1426,927.1124040066121,33347.63043478261,10099.04404197127,18,"electronic-equipment-installers-repairers-motor-vehicles","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192099","Other Physical Scientists",2016,"2016","true","true",1589,978.6656244289765,72443.23222152297,24378.815868201415,18,"other-physical-scientists","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","272099","Entertainers & performers, sports & related workers, all other",2016,"2016","true","true",1560,969.6940435226729,33722.55128205128,25214.458685783044,14,"entertainers-performers-sports-related-workers-all-other","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435030","Dispatchers",2016,"2016","true","true",3892,1531.6352804978476,33558.11767728674,8825.217253444831,30,"dispatchers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","37201X","Janitors & building cleaners",2016,"2016","true","true",130258,8856.912020015116,15901.998863793395,1782.8098339482924,1372,"janitors-building-cleaners","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113131","Training & development managers",2016,"2016","true","true",3009,1346.7325545576025,64141.19807244932,12151.866964578137,28,"training-development-managers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516040","Shoe & leather workers",2016,"2016","true","true",2423,1208.5033172951198,28632.38340899711,16865.2927538573,26,"shoe-leather-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
